image_id,gt,yolo_pred,vlm_pred,yolo_resultado,vlm_resultado,yolo_correto,vlm_correto,yolo_score_max,vlm_confianca,vlm_descricao,n_gt_boxes,n_yolo_boxes,n_vlm_boxes
0001_png.rf.46fadddf83685aa742b67c843dcd1c12.jpg,1,1,1,TP,TP,True,True,0.7953,0.95,"There is a significant amount of scattered waste, including plastic bags and cardboard, on the sidewalk and curb.",1,1,5
0002_png.rf.a29cc134fd5ef3de536d91625bc431b9.jpg,1,1,1,TP,TP,True,True,0.2842,0.95,"Various pieces of plastic waste, bottles, and discarded packaging scattered on the ground along the rock wall.",5,1,1
0003_png.rf.75866d15bdb7ee8513e35f2536efffa8.jpg,1,1,1,TP,TP,True,True,0.2892,0.95,Large pile of discarded garbage bags and loose waste on the sidewalk/street corner.,2,1,1
0004_png.rf.743cbfae4726326044854ae2ec8feb9b.jpg,1,1,1,TP,TP,True,True,0.812,0.95,There are garbage bags and discarded waste on the sidewalk near the base of the tree.,1,3,1
0005_png.rf.615c600de1855d04bb5069ff5fac35c4.jpg,1,0,1,FN,TP,False,True,0.0,0.95,There is a pile of discarded waste and garbage bags on the sidewalk/street corner.,5,0,5
0006_png.rf.aa9b3dfe000414e04c06935acedc93cb.jpg,1,1,1,TP,TP,True,True,0.398,0.9,There is some discarded waste/trash on the curb next to the wall.,1,1,1
0007_png.rf.11c60b250afdb358ddcc21dcda66806f.jpg,1,0,1,FN,TP,False,True,0.1208,0.9,There are pieces of discarded waste and debris along the curb of the street.,1,0,3
0008_png.rf.1b0cdc297b0b9b90b5fd7e5c895a6f86.jpg,1,1,0,TP,FN,True,False,0.671,0.95,No visible trash or discarded waste on the street or sidewalk.,1,4,1
0009_png.rf.4a8bfe2066823788778e98198e7d8efa.jpg,1,0,1,FN,TP,False,True,0.0,0.09,"There is a pile of discarded materials, including bags and containers, next to a utility pole on the sidewalk.",2,0,1
0010_png.rf.719dd5e146376e89b263e131ba6a7320.jpg,1,1,1,TP,TP,True,True,0.6803,0.9,There are some discarded items and debris on the sidewalk/curb area near the trees.,3,2,1
0011_png.rf.3f147c35954ecdc2391e56d94a88d268.jpg,1,0,1,FN,TP,False,True,0.1145,0.95,Large pile of mixed waste and garbage bags on the sidewalk/curb area.,2,0,1
0012_png.rf.4f9ff847bcd80db4cacb14a43f5d9b3f.jpg,1,1,1,TP,TP,True,True,0.4764,0.95,There are several bags of trash and discarded waste piled up on the sidewalk/curb area near the tree.,5,1,1
0013_png.rf.db36005818c0efd1f497a2fea94e6080.jpg,1,1,1,TP,TP,True,True,0.8646,0.95,Several garbage bags and loose waste are scattered along the curb of the street.,5,3,5
0014_png.rf.4433ff0a895c21f8cc2d148575086b39.jpg,1,1,1,TP,TP,True,True,0.4112,0.95,"Large amount of accumulated waste, including cardboard boxes, plastic bags, and other discarded materials on the sidewalk.",5,1,1
